original_text,watermarked_text,watermarker_1,watermarker_2,watermarker_3,base_prediction_kirch,base_prediction_easy,base_prediction_yang,paraphrased_text,para_prediction_kirch,para_prediction_easy,para_prediction_yang
"Sexhow railway station was a railway station located in the town of Sexhow, on the Cumbrian Coast Line in North West England. The station was opened by the Lancashire and Yorkshire Railway on 7 October 1870. It was closed to passengers on 5 January 1950, and to goods on 12 May 1965. 

The station building is now a private residence. There is a small amount of trackage remaining near the building, used currently by a local agricultural business.","Sexhow railway station was a railway staion for the first time in 1881. The station was opened by the East India Company, and it served the area of the present-day city of Delhi. The station was renamed as Delhi Cantonment Station in 1902. It was renamed as",kirch,,,TRUE,,,,,,
"In Finnish folklore, all places and things, animate or inanimate, have a spirit or ""etiäinen"" that lives there. Etiäinen can manifest in many forms, but is usually described as a kind, elderly woman with white hair. She is the guardian of natural places and often helps people in need. 

Etiäinen has been a part of Finnish culture for centuries and is still widely believed in today. Folklorists study etiäinen to understand Finnish traditions and how they have changed over time.","In Finnish folklore, all places and thin air are inhabited by elves. The most famous of the elves is the elf that lives in the lake of the same name. In the Finnish language, the word for lake is keskimääräinen.

The Finnish language",kirch,,,TRUE,,,,,,
"In mathematics, specifically differential calculus, the inverse function theorem states that for every real-valued function there exists an inverse function that satisfies the following two conditions:

1. The inverse function is continuous at every point where the original function is continuous.
2. The inverse function is unique up to a constant multiple of the given function's derivative at any given point.","In mathematics, specifically differentia, the term differential geometry is used to refer to the study of the structure of manifolds over manifolds.

Differentia is the name given to the structure of manifolds over manifolds.

Differentia is the name given to the",kirch,,,TRUE,,,,,,
"is a Japanese shōjo manga series written and illustrated by Maki Fujii. The series follows the life of Nanami Takahashi, a high school student who is struggling to find her place in the world.

Nanami Takahashi has always been a bit of an outsider. She's not verypopular at school, and she doesn't have many friends. That's why she's excited when she gets a new couch to sit on at her grandparent's house. But when Nanami steps on one of the roses in her grandfather's garden, she accidentally destroys them. The Roses are special to him and Nanami feels really bad. She decides to try and make up for it by doing some chores for her grandparent, but things don't go as planned...","is a Japanese shōjo manga series written by Shūya Nakata and illustrated by Shūya Nakata. It was published by Kodansha from August 26, 2009, to August 26, 2009, and by Viz Media from March 26, 2010, to August 26, 2009,",kirch,,,TRUE,,,,,,
"Robert Milner ""Rob"" Bradley, Jr. (born August 29, 1973) is an American former professional baseball player. He played in Major League Baseball (MLB) for the Boston Red Sox, Cincinnati Reds, and Chicago White Sox from 1995 to 2006.

Bradley attended the University of Southern California (USC) and played college baseball for the USC Trojans. He was drafted by the Red Sox in the first round of the 1995 MLB draft. Bradley made his MLB debut in 1995 and was a part of the Red Sox team that won the World Series in 2004. He finished his career with a .286 batting average, 243 home runs, and 901 RBIs.

After retiring from baseball, Bradley became a color commentator for MLB on Fox and Fox Sports Midwest. He also works as a coach for the United States national baseball team.","Robert Milner ""Rob"" Bradley, Jr. (born A. Robert Bradley, Sr.) (January 23, 1927 – March 31, 2018) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1969 to 1976.

Biography

Early life
",kirch,,,TRUE,,,,,,
"Moluccans are the Austronesian-speaking and Papuan-speaking ethnic groups inhabiting the Maluku Islands. The term ""Moluccan"" is an umbrella term that covers the various Austronesian and Papuan languages spoken on the islands. The largest group of Moluccans are the Tolo-speaking people.

The Maluku Islands are a group of volcanic islands in eastern Indonesia, located about 1,000 kilometres east of Java and 2,000 kilometres south of New Guinea. The islands comprise over 700 islands, with a total land area of approximately 245,000 square kilometres. They have a population of around 1 million people, most of whom are Muslim. The largest island group is the Tolo-speaking region, which comprises over 60% of the population.

The Moluccas were first explored by Europeans in 1512. Portuguese explorer João da Nova discovered Ternate and Tidore, while Dutch explorer Jacob Roggeveen discovered Halmahera and Bougainville. The Moluccas were later visited by Spanish explorer Ferdinand Magellan in 1521. British explorer James Cook visited Ternate, Tidore, Halmahera, and Bougainville during his first voyage in 1770–71.","Moluccans are the Austronesian-speaking ~~Chinese~~ Malays of the Pacific.
You mean the Malays?
I meant the Malays. I don't know why I made that mistake.",kirch,,,TRUE,,,,,,
"HarperOne is a publishing imprint of HarperCollins, specializing in books about American history and culture. The imprint was founded in 1992, by Bob Bernstein and Michael Morrison.

HarperOne has published a number of critically acclaimed books, including ""The Death of Lincoln"" by Abraham Lincoln historian David Herbert Donald, ""The Unfinished Revolution"" by 16th president of the United States James K. Polk, ""The Civil War"" by Allan Nevins, ""The American Republic"" by Richard Hofstadter, and ""The Great American Novel"" by Edmund Wilson.","HarperOne is a publishing imprint of Harcourt Brace Jovanovich Publishers. HarperOne is the only imprint devoted solely to the publishing of the works of the world’s best contemporary novelists. HarperOne’s roster includes some of the most celebrated names in modern fiction,",kirch,,,TRUE,,,,,,
"In computer science and mathematics, a full employment theorem is a theorem stating that for any given set of available resources, there exists a unique unemployment equilibrium in which there are no unemployed people.

The full employment theorem is a result of the theory of market equilibrium and was first proposed by Pareto in 1895. The theorem states that if the market has the ability to create full employment, then there will be no unemployment.

There are a few conditions that must be met for the theorem to hold:
1) There must be enough resources available to meet demand.
2) The market must be able to create jobs at the same rate as people enter and leave the workforce.
3) The rate at which jobs are created must be equal to the rate at which people want to work.","In computer science and mathematics, a fermion is a particle that has the property of being an extremely small quantum object. It is the smallest known object in the Standard Model of particle physics. It is the only known object in the Standard Model that has no mass, and therefore no energy",kirch,,,TRUE,,,,,,
"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy"") is a Japanesepop group formed in 2010. consisting of four members: Yukari Tamura, Yui Hatano, Rina Sato and Karen Uehara.

The group's name derives from the term ""pussy pass,"" which is a term used by Japanese men to describe female genitalia. Their music is often described as ""kawaii"" and ""pink.""

Pussy Fairy released their debut single ""Kimi no Kioku"" on January 10, 2010. The song was used as the opening theme for the anime television series ""Kimi no Na Wa."" The song peaked at number four on the Japan Oricon Singles Chart and was certified platinum by the Recording Industry Association of Japan. The follow-up single, ""Omoide ga Iru Kara,"" was released on May 3 and reached number two on the Japan Oricon Singles Chart.","""Pussy Fairy (OTW)"" (stylized as ""P*$$Y ~~Fairy~~) is the name of a female character from the video game series Final Fantasy XV, who is the main antagonist of the game. The character was created by Japanese developer Square Enix and published by Square Enix. The character was released as",kirch,,,TRUE,,,,,,
"Qasr Ibrahim (Ibrahim Palace) is a historical palace in Saint Petersburg, Russia. It is located on the Fontanka River, southeast of the Winter Palace. 

The construction of the palace began in 1754 on the orders of Empress Elizabeth I for her son, Peter III. The palace was built as a residence for the imperial family and remained their primary residence until 1918. From 1918 to 1924 it served as the official residence of the Russian provisional government during the Russian Revolution. 

The palace has been used as a museum since 1924 and is now part of the State Hermitage Museum.","Qasr Ibrahim (Ibrahim Palace) is a histo-romantic writer from the city of Aleppo in Syria. His work has been published in The New York Times, The Paris Review, The Guardian, The Paris Review, The Paris Review, The Paris Review, The Paris Review, The Paris Review,",kirch,,,FALSE,,,,,,
"Somewhere Somehow is the fourth studio album by American rock band The Paper Kites, released on September 18, 2016.

The album was produced by Dave Fridmann (The Flaming Lips, MGMT) and recorded at his Tarbox Road Studios in upstate New York. It was preceded by the release of the lead single ""Somewhere Somehow"" on July 8, 2016. 

The album has been widely acclaimed by critics and debuted at number one on the Billboard Top Rock Albums chart. It has also been nominated for a Grammy Award in the Best Rock Album category.","Somewhere Somehow is the fourth studio a la The Beatles, The Rolling Stones, and The Eagles. I think it’s safe to say that the album has a lot of influence from the aforementioned acts.

“Somewhere” has been a fan favorite for quite",kirch,,,TRUE,,,,,,
"The A5120 is an A-class road in the United Kingdom, running from the Scottish Borders to the English border.

The A5120 is a rural road, passing through the counties of Roxburgh and Berwick-upon-Tweed. The road is mainly single carriageway, but there are a few sections with dual carriageway. The A5120 runs through beautiful countryside, and is a popular route for tourists travelling to Scotland and England.","The A5120 is an A-class road in the Unité de transport de Paris (UTP), a network of motorways and toll roads in France. It was the first motorway in Paris, and it was the first motorway in France to have its own toll booth.

The A5",kirch,,,TRUE,,,,,,
"FORGE is a United States-based nonprofit organization with the mission of advancing the development of open source software. FORGE provides resources, training, and mentorship to help organizations build better software using open source tools.

FORGE was founded in 2005 by developers from Google and Yahoo! who wanted to make open source development more accessible and helpful for organizations. Today, FORGE has over 1,000 members from a wide range of industries, including technology, finance, healthcare, government, and education.

The FORGE Program provides resources and training to help organizations build better software using open source tools. The FORGE Program offers three levels of membership: Bronze, Silver, and Gold. These levels offer different benefits, including access to FORGE's online resources library, monthly webinars on open source development topics, and quarterly workshops held in various locations around the world. 

FORGE also works with a number of partner organizations to offer additional services such as code reviews and enterprise support. Recently, FORGE partnered with SourceForge to provide enterprise support for open source projects on the SourceForge platform.",FORGE is a United States-based nonprofit organization dedicated to promoting the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of,kirch,,,FALSE,,,,,,
"Jai Bhim  is a 2021 Indian action film directed by Sajid Khan and produced by Fox Star Studios. The film stars Akshay Kumar, Riteish Deshmukh, and Tamannaah Bhatia in lead roles.

The story is set in the fictional town of Jai Bhim. It follows Bhim (Akshay Kumar), a humble taxi driver who is wrongly accused of a crime he did not commit, and his quest to clear his name and restore justice to his town. 

Development on the film began in early 2019, with Khan directing from a screenplay he wrote himself. Principal photography began in November that year in Mumbai and continued in other parts of Maharashtra until May 2020. The film was shot using anamorphic lenses, to give it a ""grittier"" look.

Jai Bhim was released worldwide on 3 June 2021, to generally positive reviews from critics. It grossed over $120 million worldwide, making it one of the highest-grossing Indian films of all time.","Jai Bhim  is a 2021 Indian action film drenched in emotions, it stars Bhumi Pednekar and Arjun Rampal in lead roles. The film was directed by Rajat Arora and produced by Bhushan Kumar and Krishan Kumar. The film was released on 14th March 2021",kirch,,,FALSE,,,,,,
"The Central Connecticut Conference (CCC) is an NCAA Division I conference in the United States. The conference was founded in 1973 as the New England Collegiate Conference (NEC). In 2002, the NEC merged with the Yankee Conference to form the CCC. The conference has ten members: Bryant, Central Connecticut State, Eastern Connecticut State, Fairfield, Hartford, Sacred Heart, Western Connecticut State, and Yale.","The Central Connecticut Conference (CCC) has announced the 2018 schedule for the conference’s eight fall sports. The 2018-19 schedule features the return of the men’s and women’s cross country seasons, as well as the return of the men’s and",kirch,,,TRUE,,,,,,
