Unnamed: 0,water_kirch,prediction_kirch
0,"Sexhow railway station was established in 1881 as a railway staion . It was opened by the East India Company and served the present city of Delhi . In 1902 , it was renamed as Delhi Cantonment Station , and later it becoming called as Gurdaspur .",True
1,"In Finnish folklore , elves reside all regions and even the thin air . The most famous of these is the elf who resides in the lake that has the naming . In Finland , the word for lake is keskimääräinen .",True
2,Differentia is the term utilized in geometry to define the study of manifold and manfold structure .,True
3,"A series of shjo manga manga penned and illustrated by Shya Nakata is published by Kodansha from August 26 , 2009 to August 27 , 2009 , and by Viz Media from March 26 , 2010 toAugust 26 , 2009 .",True
4,"An American politician , Robert Milner Bradley Jr . ( born A . Robert Bradley , Sr . ) served as a member of the Missouri House of Representatives for the 67th District from 1969 to 1976 . His family background is known by his first name .",True
5,"The Malays , who speak Chinese and are Austronesian , are known as moluccans in the Pacific . I ' m not certain what you ' re referring to but I can ' t recall why .",True
6,"HarperOne , an imprint of Harcourt Brace Jovanovich Publishers , is dedicated to publishing the works of the world ' s leading modern novelists . HarperEindhoven . com is the only one - stop - shop for international and national literature publishing .",True
7,"A fermion is a particle in computer science and mathematics that has the property of being an incredibly small quantum object . It is the smallest known object in the Standard Model of particle physics . The only known obiect in this model has no mass , and therefore no energy .",True
8,"Square Enix developed and published the Final Fantasy XV , which features a women character called "" Pussy Fairy ( OTW ) "" ( stylized as "" p * $ $ Y Fairy ) "" . The character is known from Fan Girl to be an antagonist .",True
9,"Histo - romantic writing has been printed in multiple journals including The New York Times , The Paris Review , and The Guardian . He is also known as Qasr Ibrahim ( Ibrahim Palace ) , a author from Aleppo , Syria .",False
10,"The album is reminiscent of the music of The Beatles , The Rolling Stones , and The Eagles . It ' s worth noting that Somewhere Somehow is the fourth studio in existence .",True
11,"The UTP is made up of an A - class road and expressway ( A5120 ) , which is part of the Unité de transport de Paris ( UTP ) . This road was the first in Paris to have its own toll booth , and also the initial one to be established .",True
12,"FORGE , a non - profit organization operating in the United States , is committed to supporting the study of history .",False
13,"Jai Bhim , an Indian action film released on 14th March 2021 , is a heart - wrenching comedy stars Bhumi Pednekar and Arjun Rampal in lead roles . It was directed by Rajat Arora and produced by Bhushan Kumar and Krishan K . Kumar .",False
14,"A full list of eight fall sports has been released by the CCC for the 2018 - 19 season , which includes both men ’ s and female ’ cross country seasons .",True
15,"I ' m fascinated by Michael J . Sullivan ' s Borderland series of urban adventure nookbooks , and while I have read some of the books , I can ' t seem to remember things quite right . This series looks exciting , so I figured I should take it a shot .",True
16,"In my view , Xian denotes the opposite of the world ' s direction and suggests that it would be better without me .",True
17,"The term Death of Cook is applied to refer to a small , insignificant settlement in Cornwall , England , which also has ' a village green ' under its name . The historic villagegreen of the same name is situated in the village of Koch and it has two peculiar - shaped arches ( crowns ) on either side of this pebble .",True
18,"Madagascar ' s history is characterized by the presence of several unique peoples , most of which have been separated from each other for at least 100 , 000 days . The Malagasy are the earliest known inhabitants of Madagascar and are said to have migrated to the island after being brought there first .",True
19,"Sony ' s NEX - 7 digital mirrorless sensor has the same sensor as the a6000 , but with enlarged 24 . 3MP full frame and 24 . 5MP Full Frame .",True
20,"An Orthodox rabbi named Israel ( Yisrol ) Grodner , who was the sister of Shimon Grondner and his father ' s son , lived from 1848 to 1891 . He served as a Rabbi in Israel until Februrary 15 , 1886 .",True
21,"Robert Young directed the 1931 epic Western movie , Cimarron , which was written by Jack L . Haney , William J . Blythe and Jack Haines and starred Robert young , Robert Blake , James W . O ' Neill , Bill Wylie , George Blitzkin and Josh Rice .",True
22,"Melvin Henry Roberts ( January 18 , 1943 – December 31 , 2018 ) was an American politician who served as a member of the Missouri House of Representatives for the 67th District from 1981 to 1986 . His birthplace was Warren County , Missouri , was where his families , Charles and Ruth Robertses , were born .",True
