Unnamed: 0,water_easy
0,"Sexhow railway station , situated on the Cumbrian Coast Line in North West England , was opened by the Lancashire and Yorkshire Railway on 7 October 1870 . It was closed to passengers on 5 January 1950 , and to goods on 12 May 1965 .The station building is now a private house . There is presently some trackage left by ferries for an farm firm in nearby villages ."
1,"Finnish folklore acknowledges the existence of a spirit or "" etiäinen "" in all places and things , whether living or non - living . This can take on various forms , but among them she is most usually characterized as an elderly woman with white hair who guards natural regions and assists those in need .Etiälen have been incorporated into Finnish culture for centuries , and are still widely believed today . Folklorists study ettingen to easier understand their impact on traditions and how they have evolution over time ."
2,"For any real - valued function in differential calculus , the inverse function theorem states that it must satisfy two conditions : 1 . It must be continuous at all points where the original function is continuous ; 2 .It should be unique up to a constant multiple of the given function ' s derivative ."
3,"In the Japanese shjo manga series , Maki Fujii portrays a young girl called Nanami Takahashi who struggles to embrace her newfound home and family . She is not well - liked at school and lacks numerous friends , which makes her eager when she inherits one of those beautiful rose boxes from her uncle ' s garden ."
4,"A former pro baseball player , Robert Milner Bradley , Jr . played for the Boston Red Sox , Cincinnati Reds , and Chicago White Socks in Major League Baseball from 1995 to 2006 . He attended the University of Southern California ( USC ) and played college baseball before being signed into the league in the first round of the 1995 MLB draft .He played his debut season with the RedSox and helped win the World Series in 2004 ."
5,"The Maluku Islands are home to a population of ethnic communities that talk both Austronesian and Papuan languages , collectively called as Moluccans . The term "" Moluccan "" encompasses the various Australestro - Pazorene languages spoken on the islands , with the Tolo - speaking population being the most significant group ."
6,"Founded by Bob Bernstein and Michael Morrison in 1992 , HarperOne is a publishing imprint of HarperCollins that specializes in books about American history and culture . It has published several notable novels , notably "" The Death of Lincoln "" by Abraham - Lincoln scholar David Herbert Donald ; 16th governor James K . Polk ; Allan Nevins ; the Civil War ; Richard Hofstadter ; and The American Republic ( "" The Great American Novel "" ) by Edmund Wilson ."
7,"Pareto ' s concept of market equilibrium , which was first suggested in 1895 , is derived from the full employment theorem . This theory assumes that there will be no unemployment in any set of available resources , and it also holds that unemployed individuals can arise indefinitely ."
8,"Yukari Tamura , Yui Hatano , Rina Sato and Karen Uehara are the four representatives of "" Pussy Fairy "" ( OTW ) , a Japanesepop group founded in 2010 and generally known as "" Kawaii "" and "" purple "" by their colleagues . The band ' s nickname is borrowed from the term "" pussY Pass , "" which is utilized by Japanese men to define their female genitalia ."
9,"The Qasr Ibrahim Palace ( also known as Ibrahim Palace ) in Saint Petersburg , Russia , was built in 1754 on the orders of Empress Elizabeth I for her son , Peter III . It served as a home for the imperial couple and was used as their primary palace until 1918 .From 1924 to 1919 , it was used as the official residence of the Russian provisional administration during the Revolutionary War . Today , visitors can discover its magnificent interiors while visiting from museums around the world ."
10,"Released on September 18 , 2016 , The Paper Kites , their fourth studio album , was produced by Dave Fridmann ( The Flaming Lips . MGMT ) and recorded at his Tarbox Road Studios in upstate New York .The lead single "" Somewhere Somehow "" was released on July 8 , 2016 . It has been widely acclaimed by reviewers and has debuted at number one on the Billboard Top Rock Albums chart , receiving it a Grammy Award nominee for the Best RockAlbum category ."
11,"The A5120 is an A - class road in the United Kingdom that running from the Scottish Borders to the English border . It is a rural route that goes through the counties of Roxburgh and Berwick - upon - Tweed , with some segments featuring double carriageways .This kind of road is popular with tourists who tour Scotland and England ."
12,"The FORGE Program is a non - profit organization that exists to promote the development of open source software . It provides resources , coaching , and mentorship to organizations working with this material ."
13,"Jai Bhim , a 2021 Indian action film directed by Sajid Khan and produced by Fox Star Studios , stars Akshay Kumar , Riteish Deshmukh , and Tamannaah Bhatia in lead roles . It is setting in the fictional city of Jalila that Aksham played an innocent taxi driver who must escape justice to bring his town to life .Khan was also choice as the director for the feature film , which is expected to reach theaters in early 2019 ."
14,"In the United States , the Central Connecticut Conference ( CCC ) is a NCAA Division I conference that was formerly called as the New England Collegiate Conference . It was established in 1973 as part of the NEC and later combined with the Yankee Conference in 2002 .The CCC has ten members : Bryant , Central CT State , Eastern Connecticut State ; Fairfield , Hartford , Sacred Heart , Western Connecticut Southern University , and Yale ."
15,"The Borderland series by Patricia Briggs is a anthology of urban fantasy novels setting in an impenetrable and permeable reality where the boundary between our world and the Fae realm is blurred and doubtful . The book , The Shift , was released in 2004 and follows Deputy Sheriff Kaylee Sullivan as she leads an expedition to find fugitives on the edge of the Swamp Island ."
16,"A person or object that is in the middle , intermediate , and between . The term "" Xian "" can also describe a place or state of balance .It is made up of the letters "" xian "" and "" ren "" , which respectively mean "" person / thing "" ( the same as the case for Tao ) and those who are in mid - way through the journey of became TaO ."
17,"Death of Cook is the only known member of the hominin genus and family , which is a small , unidentified species . The discovery was making during an archaeological dig in Kibish , Ethiopia in 2003 .It provides new information about the history of human evolution ."
18,"Madagascar ' s history is distinguished from that of its neighbouring islands by its blending of traditional and imperial rituals . Its initial residents are said to have migrated from Africa around 65 , 000 years ago , and over the next 10 , 000 decades , Madagascar was incorporated with other islands , initially as part of the African continent and then aspartment in the Indian subcontinent .During the 16th century until 1795 , it was Dutch colonized , followed later by the French revolution , which resulted in its independence in 1960 ."
19,"Sony revealed on February 3 , 2014 that the NEX - 7 , a digital mirrorless interchangeable lens camera , would replace the previously discontinued NES - 5R ."
20,"The author of the famed Chassidic book "" Tanya "" , Israel Grodner , who was born in Botești , Moldavia , in 1848 , is attributed with being one of its most notable figures . He was also educated at the University of Moscow and later became the first rabbi of Sfântu Gheorghe , Romania in ca .1858."
21,"John Ford directed Cimarron , a pre - Code epic Western movie from 1931 that follows the story of John Ringo , an unarmed man of Spanish and American Indian descent who is falsely convicted of murdering ten years before his dying . He then gets extortionately evading the authorities in Mexico and goes to Texas where he meets and falls in love with the lovely Barbara Stanwyck ."
22,"Melvin Henry Roberts , a professional catcher , was born in Memphis , Tennessee , and played for the Baltimore Orioles ( Marvel , Kansas ) in Major League Baseball from 1966 to 1978 . He also played baseball at the University of Mississippi ( Ole Miss ) , where he was drafted into the league as batting batter ."
23,"The album , Love Season , was released on May 5 , 2018 , by Atlantic Records . It was produced by Brett Eldredge and features collaborations with Meghan Trainor , Little Big Town , and Kelly Clarkson .Despite receiving mixed critics from music reviewers , the release debuted at number one on the "" Billboard "" 200 chart and has since been certified Platinum by the Recording Industry Association of America ( RIAA ) ."
24,"A Mexican politician with the Institutional Revolutionary Party , Lidia Karen Zapata Campos was born on 28 December 1971 . She served as a reporter for local media outlets before being elected to represent Aguascalientes in the LX Legislature ofthe Mexican Congress in 2007 ."
25,"Cary Elwes and Robin Wright will co - host a Princess Bride Reunion at the Hollywood Bowl in Los Angeles on September 13 , 2020 ."
26,"The district of Hatanpää , located in Tampere , Finland , is situated in the southeastern part of the town near Keski - Tampere and surrounding areas Orivesi and Vallila . As of December 31 , 2010 , the inhabitants of this area was 21 , 288 ; the word for its district is derived from "" hata "" ( fox ) and "" päälä "" , which means hill .The original Hatäni Market site was afterwards demolished ."
27,"WMML ( 1230 AM ) is a radio station licensed for News / Talk and serves Jackson , Mississippi ; it is currently owned by Jackson Media LLC . It began broadcasting on December 12 , 1970 , as WQIK - FM , with primarily Top 40 format .In 1979 , the station switched its call signs to WMGK and then changed to Country music format ( in 1985 , it becoming an all - news radio ink ) ."
28,"In October 1982 , a vehicle loaded with bomb detonated in occupied San Francisco parking yard dead three members of . This was the deadliest terror assault in United States history until the September 11 , 2001 bombing on Washington D . C ."
29,"A fake news portal for the cities of Denver , Colorado , known as The Denver Guardian was established in November 2017 by an unknown person . The blog claims to be a humorous news outlet but is actually fabricated ."
30,"The Raven ' s Claw , an all - men senior organization founded in 1825 at Yale University , has a clubhouse on Old Campus and is known for its elegant handshake with black corduroy pants and tradition of participating in service projects ."
31,"In the state of Helena , Arkansas , there is one of only a few Confederate Cemeteries in the United States . The original cemetery was established in 1865 and enlarged in 1903 , 1866 , and 1892 . The cemetery is controlled by the Helenn American Civil War Memorial Association ."
32,"The text , titled Plutopia : Nuclear Families , Atomic Cities , and the Quest for a Perfect Future , by Kirkpatrick Sale delves into the history of theories about the future , from utopianism to post - apocalyptic fiction . It examines various ways in which people have dreamed what the come years may bring , as well as how these ideas have influenced our world today ."
33,"Wolfgang Solz , a German conductor , was born in Würzburg , Germany on February 12 , 1940 . He began his musical training as neoastrianism at the age of six and studied composition with Heinrich Schenker and conducting with Karl Richter .In 1960 , they made their debut conducting debuts with the Wehrburg Symphony Orchestra . Solza served as music director of the Dresden State Opera from 1978 to 1997 and the Bavarian State Oper from 1997 to 2005 ."
34,"A Pakistani politician named Rahila Hameed Khan Durranis was born in Karachi , Sindh on 1 January 1975 . She has been a journalist for periodicals such as "" The News "" , "" Dawn "" and "" The Nation "" .She is also aligned with the Pakistan Peoples Party ( PPP ) since 2007 , serving as an elected official from April to July 2018 . From 2017 to 2018 , she acts as the provincial spokesperson for three weeks after her birth ."
35,"Full - time employment is when an individual works a certain number of hours per week , generally 40 . In some countries , this is the norm , but in other areas it is not .The term "" full - time working "" can describe to both traditional and part - timing employment ."
36,"The symphonic works of Yu Lihua , a Chinese composer born in Wuhan ( Hubei ) on 28 November 1929 and raised in the Zhejiang Dynasty , are his most notable works ."
37,"Born in Benoit , Mississippi in 1932 , Robert Powell is an American composer who studied at the University of Southern Mississippi and worked with Darius Milhaud at Paris Conservatory . His works have been showcased in different genres , notably film , television , ballet , opera , and jazz .He has garnered recognition and accolades for his work , receiving him a Grammy Award and an Emmy Award ."
38,"During his time as manager and player of English football , James Thomas Eaglestone played in the Football League for Southampton , Liverpool , Burnley , Bolton Wanderers , and Oldham Athletic . He also played for England during the 1950 World Cup , where they reached the semi - finals ."
39,"The American born singer - singer , Joey Beagle , is also known by his stage nickname "" Joey "" . He has published two studio albums named "" In the Waiting Room "" and "" John Deere ' s Fresh Out Loud "" , which were reviewed by music reviewers in 2010 .His first album , "" Slow Love "" was well received by the group and received him a Grammy Award for Best New Artist ."
40,"The USS Project ( AM – 278 ) , a minesweeper built for the United States Navy during World War II , was launched on 14 January 1945 with Lieutenant Commander Arthur R . Anderson in command of the ship ."
41,"The adaptation of the eyes to a altered visual landscape is referred to as in visual physiology . It is an essential process in understanding and interpreting images that are seen by the brain .Adaptation is crucial in vision because it allows us to identify images and scenes that move quickly , such as when we are moving or when something new occurs . Unfortunately , our sight can ' t adapt rapidly enough or even function incorrectly , leading to problems with vision - associated problems like blindness ."
42,"HC Davos of the National League A ( NLA ) has appointed Marc Joseph Habscheid , a Swiss professional ice hockey coach and former player who played for the St . Louis Blues , Calgary Flames undoubtable , and New York Islanders in the NHL for 14 seasons ."
