Unnamed: 0,original text,watermarked text
0,"Sexhow railway station was established in 1881 as a railway staion. It was opened by the East India Company and served the modern city of Delhi. In 1902, it was renamed as Delhi Cantonment Station, and later it became known as Gurdaspur.","Sexhow railway station was a railway staion for the first time in 1881 . The station was opened by the East India Company , and it served the area of the present - day city of Delhi .The station was renamed as Delhi Cantonment Station in 1902 . It was renamed as"
1,"In Finnish folklore, elves inhabit all areas and even the thin air. The most famous of these is the elf who lives in the lake that has the name. In Finland, the word for lake is keskimääräinen.","In Finnish folklore , all places and thin air are populated by elves . The most famous of the fairies is the elf that living in the lake of the same name .In the Finnish language , the word for lake is keskimääräinen . The Finnish language"
2,Differentia is the term used in mathematics to describe the study of manifold and manfold structure.,"In mathematics , primarily differentia , the term differential geometry is applied to refer to the study of the structure of manifolds over manifolds . Differentia is the word given to the structure of manifolds over manifolds .Differentia is the name granted to the"
3,"A series of shjo manga manga written and illustrated by Shya Nakata is published by Kodansha from August 26, 2009 to August 27, 2009, and by Viz Media from March 26, 2010 toAugust 26, 2009.","is a Japanese shōjo manga series penned by Shūya Nakata and illustrated by Shūya Nakata . It was released by Kodansha from August 26 , 2009 , to August 26 , 2009 , and by Viz Media from March 26 , 2010 , to August 26 , 2009 ,"
4,"An American politician, Robert Milner Bradley Jr. (born A. Robert Bradley, Sr.) served as a member of the Missouri House of Representatives for the 67th District from 1969 to 1976. His family background is known by his first name.","Robert Milner "" Rob "" Bradley , Jr . ( born A . Robert Bradley , Sr . ) ( January 23 , 1927 – March 31 , 2018 ) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1969 to 1976 . Biography Early life"
5,"The Malays, who speak Chinese and are Austronesian, are known as moluccans in the Pacific. I'm not sure what you're referring to but I can't remember why.",Moluccans are the Austronesian - speaking ~ ~ Chinese ~ ~ Malays of the Pacific . You mean the Malays ?I meant the Malays . I don ' t know why I made that error .
6,"HarperOne, an imprint of Harcourt Brace Jovanovich Publishers, is dedicated to publishing the works of the world's leading contemporary novelists. HarperEindhoven.com is the only one-stop-shop for international and national fiction publishing.","HarperOne is a publishing imprint of Harcourt Brace Jovanovich Publishers . HarperOne is the only imprint devoted exclusively to the publishing of the works of the world ’ s finest contemporary novelists .HarperOne ’ s roster comprises some of the most celebrated names in modern novels ,"
7,"A fermion is a particle in computer science and mathematics that has the property of being an extremely small quantum object. It is the smallest known object in the Standard Model of particle physics. The only known obiect in this model has no mass, and therefore no energy.","In computer science and mathematics , a fermion is a particle that has the property of being an incredibly small quantum object . It is the smallest known object in the Standard Model of particle physics .It is the only known object in the Standard Model that has no mass , and therefore no energy"
8,"Square Enix created and published the Final Fantasy XV, which features a female character named ""Pussy Fairy (OTW)"" (stylized as ""p*$$Y Fairy)"". The character is known from Fan Girl to be an antagonist.",""" Pussy Fairy ( OTW ) "" ( stylized as "" P * $ $ Y ~ ~ Fairy ~ ~ ) is the name of a women character from the video game show Final Fantasy XV , who is the main villain of the game . The character was developed by Japanese publisher Square Enix and published by Square Enix .The character was released as"
9,"Histo-romantic writing has been published in various publications including The New York Times, The Paris Review, and The Guardian. He is also known as Qasr Ibrahim (Ibrahim Palace), a writer from Aleppo, Syria.","Qasr Ibrahim ( Ibrahim Palace ) is a histo - romantic writer from the town of Aleppo in Syria . His work has been printed in The New York Times , The Paris Review , The Guardian , The Paris Review , The Paris Review , The Paris Review , The Paris Review , The Paris Review ,"
