,watermarked text,detection confidence
0,"Sexhow railway station was a railway station located in the town of Sexhow , on the Cumbrian Coast Line in North West England . The station was opened by the Lancashire and Yorkshire Railway on 7 October 1870 .It was closed to passengers on 5 January 1950 , and to goods on 12 May 1965 . The station building is now a private house .There is a small amount of trackage surviving near the building , utilized currently by a local farming business .",97.94
1,"In Finnish folklore , all places and things , animate or inanimate , have a spirit or "" etiäinen "" that living there . Etiäinen can manifest in multiple forms , but is usually characterized as a kind , elderly woman with white hair .She is the guardian of natural locations and sometimes helps people in need . Etiäinen has been a part of Finnish culture for centuries and is remains widely believed in today .Folklorists study etiäinen to explain Finnish beliefs and how they have shifted over time .",99.96
2,"In mathematics , particularly differential calculus , the inverse function theorem states that for every real - valued function there exists an inverse function that satisfies the following two conditions : 1 . The inverse function is continuous at every point where the original function is continuous .2 . The inverse function is unique up to a constant multiple of the given function ' s derivative at any given point .",43.09
3,"is a Japanese shōjo manga series penned and illustrated by Maki Fujii . The series details the life of Nanami Takahashi , a high school student who is trying to find her place in the world .Nanami Takahashi has always been a bit of an outsider . She ' s not verypopular at school , and she doesn ' t have many friends .That ' s why she ' s excited when she gets a new couch to sit on at her grandparent ' s house . But when Nanami steps on one of the roses in her grandparents ' s garden , she accidentally kills them .The Roses are special to him and Nanami feels really bad . She decides to trying and making up for it by doing some chores for her grandparent , but things don ' t going as planned . . .",99.81
4,"Robert Milner "" Rob "" Bradley , Jr . ( born August 29 , 1973 ) is an American former professional baseball player . He played in Major League Baseball ( MLB ) for the Boston Red Sox , Cincinnati Reds , and Chicago White Sox from 1995 to 2006 .Bradley studied the University of Southern California ( USC ) and played college baseball for the USC Trojans . He was drafted by the Red Sox in the first round of the 1995 MLB draft .Bradley made his MLB debut in 1995 and was a members of the Red Sox club that won the World Series in 2004 . He finished his career with a . 286 batting average , 243 home runs , and 901 RBIs .After retiring from baseball , Bradley became a color commentator for MLB on Fox and Fox Sports Midwest . He also serves as a coach for the United States national baseball team .",99.02
5,"Moluccans are the Austronesian - speaking and Papuan - speaking ethnic communities inhabiting the Maluku Islands . The term "" Moluccan "" is an umbrella term that covers the various Austronesian and Papuan languages spoken on the islands .The largest group of Moluccans are the Tolo - speaking people . The Maluku Islands are a group of volcanic islands in eastern Indonesia , located about 1 , 000 km south of Java and 2 , 000 km south of New Guinea .The archipelago comprise over 700 islands , with a total land region of almost 245 , 000 square kilometres . They have a population of around 1 million residents , most of whom are Muslim .The largest archipelago group is the Tolo - speaking region , which contains over 60 % of the inhabitants . The Moluccas were first explored by Europeans in 1512 .Portuguese explorer João da Nova found Ternate and Tidore , while Dutch explorer Jacob Roggeveen discovered Halmahera and Bougainville . The Moluccas were later visited by Spanish explorer Ferdinand Magellan in 1521 .British explorer James Cook visited Ternate , Tidore , Halmahera , and Bougainville during his first trip in 1770 – 71 .",99.99
6,"HarperOne is a publishing imprint of HarperCollins , specializing in books about American history and culture . The label was founded in 1992 , by Bob Bernstein and Michael Morrison .HarperOne has published a number of critically acclaimed novels , notably "" The Death of Lincoln "" by Abraham Lincoln scholar David Herbert Donald , "" The Unfinished Revolution "" by 16th chancellor of the United States James K . Polk , "" The Civil War "" by Allan Nevins , "" The American Republic "" by Richard Hofstadter , and "" The Great American Novel "" by Edmund Wilson .",99.97
7,"In computer science and mathematics , a complete employment theorem is a theorem stating that for any given set of available resources , there exists a unique unemployment equilibrium in which there are no unemployed people . The full employment theorem is a result of the theory of market equilibrium and was first suggested by Pareto in 1895 .The theorem states that if the market has the ability to create complete employment , then there will be no unemployment . There are a few conditions that must be meeting for the theorem to hold : 1 ) There must be sufficient resources accessible to meet demand .2 ) The market must be able to create jobs at the same rate as people enter and leave the workforce . 3 ) The rate at which jobs are created must be equal to the rate at which citizens want to work .",100.0
8,""" Pussy Fairy ( OTW ) "" ( stylized as "" P * $ $ Y Fairy "" ) is a Japanesepop group created in 2010 . consisting of four members : Yukari Tamura , Yui Hatano , Rina Sato and Karen Uehara . The band ' s nickname stems from the term "" pussy pass , "" which is a term used by Japanese men to indicate female genitalia .Their music is often characterized as "" kawaii "" and "" pink . "" Pussy Fairy published their debut song "" Kimi no Kioku "" on January 10 , 2010 .The track was used as the opening theme for the animation television show "" Kimi no Na Wa . "" The track peaked at number four on the Japan Oricon Singles Chart and was certified platinum by the Recording Industry Association of Japan .The follow - up track , "" Omoide ga Iru Kara , "" was released on May 3 and reached number two on the Japan Oricon Singles Chart .",99.97
9,"Qasr Ibrahim ( Ibrahim Palace ) is a historical palace in Saint Petersburg , Russia . It is situated on the Fontanka River , southeast of the Winter Palace .The construction of the palace began in 1754 on the orders of Empress Elizabeth I for her son , Peter III . The palace was built as a house for the imperial family and remained their primary house until 1918 .From 1918 to 1924 it served as the official residence of the Russian provisional administration during the Russian Revolution . The palace has been used as a exhibition since 1924 and is now part of the State Hermitage Museum .",99.95
10,"Somewhere Somehow is the fourth studio album by American rock group The Paper Kites , released on September 18 , 2016 . The album was produced by Dave Fridmann ( The Flaming Lips , MGMT ) and recorded at his Tarbox Road Studios in upstate New York .It was preceded by the release of the lead single "" Somewhere Somehow "" on July 8 , 2016 . The album has been widely acclaimed by reviewers and premiered at number one on the Billboard Top Rock Albums chart .It has additionally been nominated for a Grammy Award in the Best Rock Album category .",99.66
11,"The A5120 is an A - class road in the United Kingdom , running from the Scottish Borders to the English border . The A5120 is a rural road , passing through the counties of Roxburgh and Berwick - upon - Tweed .The road is mainly single carriageway , but there are a few segments with double carriageway . The A5120 passes through beautiful countryside , and is a popular highway for visitors heading to Scotland and England .",98.35
12,"FORGE is a United States - based nonprofit organization with the mission of advancing the development of open source software . FORGE provides resources , training , and mentorship to assist organizations build better technology using open source methods .FORGE was founded in 2005 by users from Google and Yahoo ! who wished to make open source development more available and useful for organizations .Today , FORGE has over 1 , 000 members from a broad variety of industries , notably tech , finance , healthcare , government , and schools . The FORGE Program offers resources and instruction to assist organizations build better technology using open source software .The FORGE Program offers three levels of participation : Bronze , Silver , and Gold . These levels provide different benefits , including access to FORGE ' s internet materials database , monthly webinars on open source development subjects , and quarterly seminars given in different places around the world .FORGE also works with a number of partner organizations to provide additional services such as code analyses and enterprise backing . Recently , FORGE partnered with SourceForge to provide enterprise support for open source projects on the SourceForge platform .",100.0
13,"Jai Bhim is a 2021 Indian action film directed by Sajid Khan and produced by Fox Star Studios . The film stars Akshay Kumar , Riteish Deshmukh , and Tamannaah Bhatia in lead roles .The tale is setting in the fictional village of Jai Bhim . It involves Bhim ( Akshay Kumar ) , a humble taxi driver who is wrongly accused of a crime he did not commit , and his search to clear his name and restore justice to his town .Development on the film commenced in early 2019 , with Khan directing from a script he penned himself . Principal filming began in November that year in Mumbai and began in other parts of Maharashtra until May 2020 .The film was filmed using anamorphic cameras , to give it a "" grittier "" look . Jai Bhim was released worldwide on 3 June 2021 , to generally favourable reviews from critics .It grossed over $ 120 million globally , making it one of the highest - grossing Indian cinema of all time .",100.0
14,"The Central Connecticut Conference ( CCC ) is an NCAA Division I conference in the United States . The conference was founded in 1973 as the New England Collegiate Conference ( NEC ) .In 2002 , the NEC merged with the Yankee Conference to form the CCC . The conference has ten members : Bryant , Central Connecticut State , Eastern Connecticut State , Fairfield , Hartford , Sacred Heart , Western Connecticut State , and Yale .",63.06
15,"The Borderland series of urban fantasy novels by New York Times greatest - selling author Patricia Briggs is setting in a world where the boundary between our world and the Fae realm is permeable and sometimes hard to spot . The series involves a group of humans and Fae who reside and work in this borderland , and their fights to keep the two worlds separate .The first novel in the series , The Shift , was publication in 2004 and tells the story of sheriff Kaylee Sullivan , who is called to probe a string of disappearances on the other side of the boundary . As she investigates , she discovers that the Fae are using humans as pawns in a greater game , and she must fight to save her friends and avert a Fae attack of her home town .The Borderland series has been praised for its highly - defined characters and its sophisticated plot . Fans of urban adventure novels are sure to enjoy the series , which is suitable for all ages .",100.0
