,water_kirch,prediction_kirch
0,"Geneviève-Aimé-Zoë Prévost (15 April 180-19 February 1919) was a French singer who was a notable figure in the French music of the 19th century.

Biography

Geneviève-Aimé-Zoë Prévost was born in Paris on",False
1,"A secretory protein is any protein, whetting the appetite for the protein-containing compound. Secretory proteins are present in many different cell types, including muscle cells, liver cells, kidney cells, brain cells, and many others. Secretory proteins are secreted by the cell nucleus into the",True
2,"The Horrorist was an occult and horror-torture film, written by George Romero. The film was released in theaters on September 28, 1976. The Horrorist is the only film by Romero to have been released theatrically in the United States. The film was released by Columbia Pictures.",True
3,"Colossal is an American indie rock band  I think I've been listening to them for the last year or two?
I just listened to their album for the first time yesterday and I loved it. I've been listening to a lot of indie rock lately and I think I've been listening",True
4,"is a Japanese 2004 teen comedy film directed by director Yoko Ono, who also wrote the screenplay, and starring Tomoya Nakata as a high school student who gets a scholarship to the prestigious Tohoku University in the northern Japanese city of Sapporo.",True
5,"Doctor Dream Records is an independent r&b/soul label based in Nashville, TN. We have released over 100 original albums by some of the best artists in the business including The Roots, J Dilla, J Dilla’s daughter, J Dilla’s",True
6,"The Redspotted Hawkfish (Amblycirrhitus erythrogaster) is a species of sea slug, a dorid nudibranch, a marine gastropod mollusk in the family Dermestidae.

Distribution

Description
The Redspotted Hawkfish",False
7,"Teliphasa spinosa is a species of moth oecumenis in the family Crambidae. It was described by George Hampson in 1912. It is found in Australia, where it has been recorded from New South Wales.

The wingspan is about 17 mm. The fore",False
8,"Micki Grant (born Minnie Louise Perkins, December 21, 1941) is an American actress. She is known for her work in the television series Cheers (1970–1974) and as the wife of actor James Caan on the film The Godfather Part II (1972). Grant's other",False
9,"Pultenaea costata, commonly known as ribbed cedar, is a tree that has been grown for hundreds of years for its beautiful red-purple-green leaves. It is the only tree in the world that has been grown as a food tree, and the only one that has been",True
10,"Gheza or Géza Vida, also known as Géza vida de los pobres or simply Géza, is a Brazilian folk song, composed by Pedro de Carvalho and sung by the band Géza. The song was released as the album's third single on 12 March 2009, and",True
11,"Suzanne Duchamp-Crotti (20 October 1889  – 24 December 1971) was an American painter who was a pioneer of abstract expressionist painting. Her work has been exhibited in the United States, England, and France.

Biography
Duchamp-Crotti was born in New York",False
12,John R. Buchtel (1820–1892) was an Ameri­can who settled in the U.S. Territory of Alaska and became a major figure in the history of the region. He was the son of a wealthy planter who was a friend of the Russian czar and later became the Russian consul,True
13,"The English suffix -graphy means a ""fiel"", meaning ""to make"", ""to make a garment"", ""to make a garment from"". The suffix -graphy is used in the plural of the verb ""graphier"", meaning ""to make a garment from"". The verb ""graphier""",False
14,"Carolina Oliphant, Lady Nairne (16 Augus 1610, London – 16 June 1680, London) was an English painter, who lived in London for the last 15 years of her life. Her work included portraits, landscape paintings and religious and genre paintings. Her work has been compared to that",True
15,"Des Clarke is a fictional character from the BBC soap opera EastEnders, played by Paul Nicholls. Des Clarke was created by Ian Beale for the first time in 1984. Des Clarke was the son of Ian Beale's wife, Jean Slater, and Des's mother, Jean",True
