,water_kirch,prediction_kirch
0,Sexhow railway station was a railway sta                         ,True
1,"In Finnish folklore, all places and thin air are known to be                 �",True
2,"In mathematics, specifically differentia (                       �",True
3,is a Japanese shōjo manga series written by a Japanese writer that is known to be a          ,True
4,"Robert Milner ""Rob"" Bradley, Jr. (born AUGUST 4 1964 in New York City NY ) is a         ",True
5,Moluccans are the Austronesian-speaking people of the Southeast Pacific area of the Pacific Ocean that live in the Southeast Pacific ,True
6,HarperOne is a publishing imprint of HarperCollins that publishes literature that is               �,True
7,"In computer science and mathematics, a fault is a fault of a program that is not programming programming programming programming programming�",True
8,"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y Fairy (OTW) (stylized as ""Pussy Fairy (OTW) (stylized as ""Pussy Fairy",True
9,Qasr Ibrahim (Ibrahim Palace) is a histo ical site that is known to many people of the Middle East and the West for ,True
10,Somewhere Somehow is the fourth studio a                         ,True
11,The A5120 is an A-class road in the Unit of Measure ( UoM).                 �,True
12,FORGE is a United States-based nonprofit organization that uses its own money to help people in developing countries to develop their ,True
13,Jai Bhim  is a 2021 Indian action film drama that is a  love story of a             ,True
14,The Central Connecticut Conference (CCC) is a non-profit organization that is dedicated to helping people to become better people ,True
15,The Borderland series of urban fantasy narrative games is a sub-genre of               �,True
16,Xian  refers to a person or thing that i think is a                    �,True
17,"Death of Cook is the name of a small, unfamiliar soup that is a soup of              ",True
18,The history of Madagascar is distinguish ing itself from its peers in its ability to survive a       ,True
19,The Sony α NEX-7 is a digital mirrorless camera that uses a                   ,True
20,Israel (Yisrol) Grodner (; ca. 1848 – Febr. 1868 ) israel (Yisrol) israel (Yisrol) israel (Yisrol) israel (Y,True
21,Cimarron is a 1931 pre-Code epic Western film that is a                   ,True
22,"Melvin Henry Roberts (January 18, 1943 –July 18, 1962 ) (                 �",True
23,Love Season is the debut studio album by Sleater-Kinney that is a                �,True
24,"Lidia Karen Zapata Campos (born 28 Decem 2013 in Sao Paulo, Brazil ) is a Brazilian actress and model (   ",True
25,"On September 13, 2020, most of the Princeton School of Medicine ( PSM ) will be online to facilitate their    �",True
26,"Hatanpää  is a district in Tampere, Finländ  s                     �",True
27,WMML (1230 AM) is a radio station broadcasing a                       ,True
28,"In October, 1982, three members of an Li                         ",True
29,The Denver Guardian was a fake news website that was created to spread false news to the people of Denver and the world of�,True
30,The Raven's Claw is an all-male senior s                         ,True
31,The Helena Confederate Cemetery is locat ed near the old                   ,True
32,"Plutopia: Nuclear Families, Atomic Citie of                       �",True
33,Wolfgang Solz (12 February 1940 – 24 Oct 2008 ) was a                   ,True
34,Rahila Hameed Khan Durrani  is a Pakista                         ,True
35,A full-time job is employment in which a worker is paid a wage to perform a job that is not paid to them by�,True
36,"Yu Lihua (, 28 November 1929 – 10 Januar 2008 ) (                    �",True
37,"Robert Powell (born 1932 in Benoit, Missouri ) is a writer of                 ",True
38,James Thomas Eaglestone (24 July 1923 – July 18 2017 ) was born in London England to a father of English ancestry and ,True
39,"Joseph Beagle, also known as singer-songwriter Joseph Beagle ( J.B ) is a familiar figure to people of a   ",True
40,USS Project (AM–278) was an  built for thes United States government of United States of America ( US ).        ,True
41,"In visual physiology, adaptation is the process of re- adapting to a new environment .           �",True
42,"Marc Joseph Habscheid (born March 1, 196 in Wiesbaden to a family of German Jews of          ",True
43,The following events occurred in Novembe City of Toronto on January 17 2017 at 10 a m        �,True
44,Brigadier Terence Esmond Maxwell Battersby (1794–1868) is a                 ,True
45,"In combat sports such as boxing, an ortho tho tho tho tho tho tho tho tho tho tho tho tho�",False
46,Alonso de Ojeda  (; c. 1466 – c. 1524) w                         ,True
47,Anna Rezan (; born 12 December 1992) is a Japanese actress who is known for her act of          �,True
48,"Marybeth Yuen Maul (March 26, 1925 – Jan 17, 1882 ) was a Chinese woman of Chinese descent who became a Chinese woman�",True
49,"In mathematics, an almost periodic funct is a                      ",True
50,The Blackest Beautiful is the third studio album of the                    ,True
51,"Oryzomys dimidiatus, also known as the Nematode is a parasitic organ of the parasitic order of parasites. It s a�",True
52,"In computing, the Windows Driver Model  is a                       ",True
53,Chipknip (a portmanteau of chip card and chip chip chip chip chip chip chip chip chip chip chip chip chip chip chip chip ,True
54,Varioonops is a genus of goblin spiders that live in the shelter of their own cloaks of frost and frost scales of,True
55,Populism in Canada involves the phenomenon of                       ,True
56,British jazz is a form of music that ori s father of jazz                  �,True
57,"Frank Wakeley Gunsaulus (January 1, 1856 - March 1862 ) (                 ",True
58,A krama  is a sturdy traditional garment that is a traditional style of traditional style of traditional style of traditional style of traditional ,True
59,"WFBO-LP (97.7 FM, ""Oldies 97.7 The Blizzards                        �",True
60,"Edward Buck (October 6, 1814 – July 19, 1882 ) was a fellow of                ",True
61,The Cauvery Wildlife Sanctuary is a protective area of the Cauvery River that is a national reserve of India and is a�,True
62,Igumnov House  is a historic house in th e town of Igumnov that s situated on a mountain that s known as �,True
63,Submarine Museum  is a museum made up of submarines and their contents that have been captured by the United States military during the�,True
64,"""Cheerleader"" is a song recorded by Jamaican s Jermaine King and his band              �",True
65,Let's Bowl is a scripted bowling game showing off the bowling techniques of the world s best bowling team      �,True
66,As witnessed from the social media secto the                       �,True
67,Transferable development rights (TDR) is a concept that is used to assess the value of a develop right that is  ,True
68,"John Brugman, O.F.M., was a 15th-century English philosopher who wrote a                �",True
69,"Eugene Salvatore ""Gene"" DiNovi (born May 17 )                      ",True
70,4-Digits (abbreviation: 4-D) is a lotteries that take place in Japan where you can pick a number of digits to pick from,True
71,Anglo-Saxon charters are documents from the early 10th century that contain a              �,True
72,Lieutenant General William Pelham Yarbor (1780 1859) ( ) ( ) ( ) ( ) ( ) ( ) (�,True
73,The Château de Kaysersberg (also: Schlosberg ) is a                    ,True
74,Vaclav Smil (; born 9 December 1943) is a Pol ( Pol                    ,True
75,Lameia (minor planet designation: 248 La 7 ) is a near earth moon that is a satellite of La 7 ( 248�,True
76,The Brno chair (model number MR50) is a                          ,True
77,Innti was an Irish language poetry movemest to English to be read by English people to be read by English people to be�,True
78,Hakea longiflora is a small shrub in the southern hemisphere of Australia that s known to be a good shrub to grow in ,True
79,Roann Historic District is a national hi line of cultural heritage that is rich in cultural heritage of its own and is a,True
80,"Analytical psychology (, sometimes translated                        �",True
81,"Nick Albertson (born 1983, Boston, MA) i                         ",True
82,"""The Eddie"" is a big wave surfing event that brings together a variety of people to watch a          ",True
83,Constant-voltage speaker systems refer t to a                      ,True
84,"Bruce Mather (born May 9, 1939) is an Am of                       �",True
85,"Grandy Glaze (born March 4, 1992) is an American s first born daughter of a father who is a fellow of the National Association ",True
86,"Yaron Tsur ((; born June 19, 1948), is a                         ",True
87,"Tenedos (, Tenedhos, ), or Bozcaada in Tenedos (, Tenedhos ).                 �",True
88,Toby Sedgwick (born 16 August 1958) is a writer of non fiction and non fiction stories that tell of his own life and his ,True
89,The Catharpin Creek Formation is a Late Period Period Period Period Period Period Period Period Period Period Period Period Period,True
90,The German Clock Museum  is situated in the old                       ,True
91,Space Engine Systems Inc. (SES) is a Canad -based space engine developer that s developing a space engine that s designed to help�,True
92,"Willie King (March 18, 1943 – March 27, 1962 ) was a                   �",True
93,The Betsy Ross House is a landmark build that is a                    �,True
94,"Bobby Ray Murcer (May 20, 1946 – Novembe 17)                       ",True
95,The plain-mantled tit-spinetail (Leptastichus sporus ) is a                 ,True
96,"Dnestr radar  and Dnepr radar , or simplified                        �",True
97,The Northwestern Mari (self definition:                          ,True
98,Major General Sir Thomas William Glasgow (1759 - 1794) of                   ,True
99,The FM Towns Marty is a fifth-generation FM Town that s been housed in a modern facility that s been modernized to ,True
100,Geneviève-Aimé-Zoë Prévost (15 April 180 July 18 18 18 18 18 18 18 18 18 18 18 18 18 18 18 ,False
101,"A secretory protein is any protein, whet you think of it is a secretory protein that is a secretory protein that is a",True
102,The Horrorist was an occult and horror-troll that liked to spread his                �,True
103,Colossal is an American indie rock band that s known for their                  �,True
104,is a Japanese 2004 teen comedy film direc                        �,True
105,Doctor Dream Records is an independent rural record label that is dedicated to the production of          �,True
106,The Redspotted Hawkfish (Amblycirrhitus parviflorus ) is a sub-species of the            �,True
107,Teliphasa spinosa is a species of moth overtaking its previous status of                 �,True
108,"Micki Grant (born Minnie Louise Perkins, July 18 19 18 19 18 18 18 18 18 18 18 18 18 18 18 ",True
109,"Pultenaea costata, commonly known as ribbon grass is a non native species of grass that is not native to the United States�",True
110,"Gheza or Géza Vida, also known as Géza vida (                       ",True
111,Suzanne Duchamp-Crotti (20 October 1889 - July 1890 ) (                  ,True
112,John R. Buchtel (1820–1892) was an Ameri anc                       �,True
113,"The English suffix -graphy means a ""fiel to a ""graph of a ""graph of a ""graph of a ""graph of a ""graph",True
114,"Carolina Oliphant, Lady Nairne (16 Augus 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 17 ",True
115,Des Clarke is a fictional character from                         ,True
116,"Rondo Emmett Cameron (February 20, 1925 - March 17, 18 ) (                �",True
117,"Kush-Nama , is a Persian epic poem writt by Safdar Al Al Al Al Al Al Al Al Al Al Al Al Al Al",True
118,"The Crimean Bridge ,  also called the Seventy-Seventh Bridge ,  is a               �",True
119,Slađana Đurić (; born 30 June 1964) is a                         ,True
120,is a Japanese tokusatsu television minis of Japanese                      ,True
121,The crash of Alitalia Flight 618 was a fatal aircraft crash that occurred on January 17 at 10:15 a m UTC ( UTC ,True
122,Eleanor Vachell (1879–1948) was a Welsh woman of English ancestry who became a Welsh national figure in the early 20th century ,True
123,"Ezra Brainerd (December 17, 1844 – Decem 18, 1845 - 1852 - 1852 - 1852 - 1852 - 1852 - 1852",True
124,"""Rockin' for Myself"" is a song by Americana rock band  The Stones from their              ",True
125,The Champions are a fictional team of princesses that live in a fantasy world that is not real and is not a world�,True
126,"Massimiliano ""Max"" Biaggi (; born 26 Jun 18 in Perugia Italy ) is a             �",True
127,"HMS Ben-my-Chree (Manx: ""Woman of My Hea                         ",True
128,"Akiem Jamar Hicks (born November 16, 198 ) is a defensive line lineman for the Chicago Saints ( Chicago Saints ). Jamar",True
129,Pamela J. Peters is an Indigenous multimedian artist and writer of a                �,True
130,Sugar Hill is a historically middle clas ed area of New York City that is known for its rich cultural heritage and its�,True
131,"Brandon Nakashima (born August 3, 2001) is a Japanese sport s first Japanese to win a world s first      ",True
132,"Thaumaci or Thaumacus , was a town in an area of                      ",True
133,Doug de Vries (born 26 July 1960) is a B                         ,True
134,The Make-Up is an American post-punk banjo band that first emerged in 1984 as a solo project of       ,True
135,"Jos Museum is a museum in Jos, Nigeria. Jos is a country of a great people of a great country of a great people of",True
136,"Carol Steen is an artist, writer and curator of a                     �",True
137,"Frank John Viola Jr. (born April 19, 195 ) (                      ",True
138,Liah Greenfeld is an Israeli-American Rupert Seymour                     �,True
139,"Nina Barr Wheeler (September 3, 1909 – MAY 17 ) was a                  �",True
140,The discography of American ambient musi c                       �,True
141,Jitendra Satish Awhad is an Indian Politician of the first order of his country and is a member of the United States Congress�,True
142,"Christian Cyrus Leben (born July 21, 198 ) (                      ",True
143,"The Waverley Reservoirs are four reservo...

The Waverley Reservoirs are four reservo...

The Waverley Reservoirs are four res",True
144,Swami is a 1977 Hindi Indian romance films                        �,True
145,"The Assisi Diocesan Museum, in the city of Assisi Italy is a                  ",True
146,KETR (88.9 FM) is a 100-kW noncommercial radio station that’s owned and operated by a nonprofit organization that s dedicated to ,True
147,Cruentis is a progressive black metal ba                         ,True
148,"The common woolly monkey, brown woolly mammoth ( WOLVES WOLVES WOLVES WOLVES WOLVES WOLVES WOLVES W",True
149,"Marvin Fojas Ramirez (born December 28, 1984 in Guatemala to a family of Guatemalan immigrants of Spanish ancestry ) is a",True
150,"Boris Abbott Jacobsohn (30 July 1918, Neuengamme to Wiesbaden to Wiesbaden to Wiesbaden to Wiesbaden to Wiesbaden�",True
151,", also known as Attorney General v. Khan of Pakistan is a frequent contributor to the United States media and is a frequent�",True
152,Abadie is a French and English surname. His father was a cleric of the Roman Catholic Church and his mother was a cleric ,True
153,A web portal is a specially designed web site that is a great resource for people that want to learn about a    ,True
154,High Road is a 2011 American improvised film that is a                    ,True
155,Rupa Lake or Rupa Tal is a freshwater la                         ,True
156,"In mechanics, the net force is the resul t of a                    �",True
157,is a former Japanese football player. Pls take him to Japan to be a leader of his country and help his people to�,True
158,Alejandro Celestino Toledo Manrique (; b. 18 a. 18 18 18 18 18 18 18 18 18 18 18 18 18 18,True
159,Steven Donato Cangialosi (born October 2 1986 in New York City of New York City of New York City of New York ,True
160,"Ogden Park, also known as Ogden Skating Park is a popular area to watch skaters and figure skaters out of their wheel gear ",True
161,Noel Kelehan (26 December 1935 – 6 July 2008 ) was born in Finland to a family of Finns of Sami ( Sami ,True
162,"Lev Philippovitch Wolkenstein (, 1858—20 June 1898) was a Russian philosopher of mathematics and mathematician of mathematician mathematician�",True
163,"Andrew Williams (born December 12, 1977) is a writer of                   ",True
164,Claythorpe is a hamlet about  north-west England that is known for its rich cultural heritage of old English settlements and its rich,True
165,"Halwyck, also known as the James Hoge Hoge Park is a popular area of New York City that is located between the Bronx ",True
166,363 (three hundred [and] sixty-three) is a                       �,True
167,Abbott districts are school districts in Texas that are not run by a district of the City of Austin (   �,True
168,Fetteresso Castle is a 14th-century towe of a Roman Catholic Church in the Roman Catholic City of Siena Italy . Castle ,True
169,The Labour Party Conference is the annua ly conference of the National Union of Labour Unions ( NULU ).     �,True
170,"Figure-ground contrast, in the context o                         ",True
171,Eleanor Richardson (born 1 July 1986) is a writer of non fiction stories and non fiction stories of non fiction stories of non ,True
172,was a Muromachi period yamajiro-style Jaime ?                       ,True
173,Botta is a surname. People with this surrounding of family are known to be               ,True
174,Joseph Marlow (12 December 1854 – 8 Novem 1859 ) was a                  ,True
175,"V391 Pegasi b, also known as HS 8101, is a                       �",True
176,"Joseph Henry Reason (March 23, 1905 – Juvenile Court March 30, 1894 – 1898 ) was born in New York City to a�",True
177,Sleep is a 2013 film directed by Samuel Wasserman (                      ,True
178,The Malabar rebellion happened from Augu s                       �,True
179,Judicial murder is the intentional and possible premeditated killing of a person by a government officer to obstruct the prosecution of ,True
180,Flook was a location-based browsing appliance that s a                    ,True
181,"The Gender Park, established in 2013, is a non-profit organization that uses a              �",True
182,CrucialTec is the world's largest manufa of                       �,True
183,"Cassandra Lee Morris (born April 19, 198 ) is a                    �",True
184,Charlton Ehizuelen (born 30 November 195 ) is a Palestinian national of                ,True
185,"Eric Alan Hanushek (; born May 22, 1950) is a Japanese author of                 �",True
186,"The Capparaceae (or Capparidaceae), commensal plant family ( Capparaceae ) is a family of commensal plant s that live�",True
187,Squee! was a four-issue comic book serie that explicitly reminiscent of                �,True
188,November Group (Marraskuun ryhmä) was an                         ,True
189,The Joseph Fessenden House is a historic home of a family of early settlers of the area of        ,True
190,Paola Arlotta (born 1971) is the Golubev of                       �,True
191,Abū Manṣūr Muḥammad ibn Aḥmad al-Azharī ’s”””””””””””””””””””””””�,True
192,"Lee Jung-jae (; born December 15, 1972) is a singer of K-pop s               �",True
193,Sperry is a surname. Notable people with that surname include Sperry Seymour Seymour Jr ( Seymour Jr Jr Jr�,True
194,"Ceol Aduaidh (Irish Gaelic for ""Music francais ""                      �",True
195,"Huwwarah , also spelled Huwwara and Huwa (                       �",True
196,Paul Guo Wenzhi (; 11 January 1918 – 3 MAY 1918 ) (                   �,True
197,Ramsay Street is the fictional cul-de-sa of                       �,True
