Unnamed: 0,water_kirch,prediction_kirch
0,"Sexhow railway station was established in 1881 as a railway staion. It was opened by the East India Company and served the modern city of Delhi. In 1902, it was renamed as Delhi Cantonment Station, and later it became known as Gurdaspur.",True
1,"In Finnish folklore, elves inhabit all areas and even the thin air. The most famous of these is the elf who lives in the lake that has the name. In Finland, the word for lake is keskimääräinen.",True
2,Differentia is the term used in mathematics to describe the study of manifold and manfold structure.,True
3,"A series of shjo manga manga written and illustrated by Shya Nakata is published by Kodansha from August 26, 2009 to August 27, 2009, and by Viz Media from March 26, 2010 toAugust 26, 2009.",True
4,"An American politician, Robert Milner Bradley Jr. (born A. Robert Bradley, Sr.) served as a member of the Missouri House of Representatives for the 67th District from 1969 to 1976. His family background is known by his first name.",True
5,"The Malays, who speak Chinese and are Austronesian, are known as moluccans in the Pacific. I'm not sure what you're referring to but I can't remember why.",True
6,"HarperOne, an imprint of Harcourt Brace Jovanovich Publishers, is dedicated to publishing the works of the world's leading contemporary novelists. HarperEindhoven.com is the only one-stop-shop for international and national fiction publishing.",True
7,"A fermion is a particle in computer science and mathematics that has the property of being an extremely small quantum object. It is the smallest known object in the Standard Model of particle physics. The only known obiect in this model has no mass, and therefore no energy.",True
8,"Square Enix created and published the Final Fantasy XV, which features a female character named ""Pussy Fairy (OTW)"" (stylized as ""p*$$Y Fairy)"". The character is known from Fan Girl to be an antagonist.",True
9,"Histo-romantic writing has been published in various publications including The New York Times, The Paris Review, and The Guardian. He is also known as Qasr Ibrahim (Ibrahim Palace), a writer from Aleppo, Syria.",False
10,"The album is reminiscent of the music of The Beatles, The Rolling Stones, and The Eagles. It's worth noting that Somewhere Somehow is the fourth studio in existence.",True
11,"The UTP is made up of an A-class road and motorway (A5120), which is part of the Unité de transport de Paris (UTP). This road was the first in Paris to have its own toll booth, and also the initial one to be established.",True
12,"FORGE, a non-profit organization operating in the United States, is committed to promoting the study of history.",False
13,"Jai Bhim, an Indian action film released on 14th March 2021, is a heart-wrenching comedy featuring Bhumi Pednekar and Arjun Rampal in lead roles. It was directed by Rajat Arora and produced by Bhushan Kumar and Krishan K. Kumar.",False
14,"A complete list of eight fall sports has been released by the CCC for the 2018-19 season, which encompasses both men’s and women’cross country seasons.",True
15,"I'm intrigued by Michael J. Sullivan's Borderland series of urban fantasy nookbooks, and while I have read some of the books, I can't seem to remember anything quite right. This series sounds interesting, so I thought I should give it a shot.",True
16,"In my opinion, Xian denotes the opposite of the world's direction and suggests that it would be better without me.",True
17,"The name Death of Cook is used to refer to a small, insignificant village in Cornwall, England, which also has 'a village green' under its name. The historic villagegreen of the same name is situated in the village of Koch and it has two peculiar-shaped arches (crowns) on either side of this pebble.",True
18,"Madagascar's history is marked by the presence of numerous unique peoples, most of which have been separated from each other for at least 100,000 years. The Malagasy are the oldest known inhabitants of Madagascar and are thought to have migrated to the island after being transported there first.",True
19,"Sony's  NEX-7 digital mirrorless camera has the same sensor as the a6000, but with enlarged 24.3MP full frame and 24.5MP Full Frame.",True
20,"An Orthodox rabbi named Israel (Yisrol) Grodner, who was the daughter of Shimon Grondner and his father's son, lived from 1848 to 1891. He served as a Rabbi in Israel until Februrary 15, 1886.",True
21,"Robert Young directed the 1931 epic Western film, Cimarron, which was written by Jack L. Haney, William J. Blythe and Jack Haines and starred Robert young, Robert Blake, James W. O'Neill, Bill Wylie, George Blitzkin and Josh Rice.",True
22,"Melvin Henry Roberts (January 18, 1943 – December 31, 2018) was an American politician who served as a member of the Missouri House of Representatives for the 67th District from 1981 to 1986. His birthplace was Warren County, Missouri, was where his parents, Charles and Ruth Robertses, were born.",True
23,"Love Season, the debut studio album by American recording artist and songwriter Christina Aguilera, was released on March 21, 2009, by Columbia Records. It debuted at number one on the US Billboard 200 chart, selling more than 200,000 copies in its first week, becoming Aguella's fifth album of the year.",True
24,"She is a Spanish writer, translator and scholar Lidia Karen Zapata Campos born 28 December 1972 in Santiago de Compostela, Galicia (Spain), Her work has been translated into more than twelve languages and she has written articles for the literary magazine La Noche de los Dioses.",True
25,"The vaccination day for the residents of the Principality of Monaco will be held from 8 a.m. to noon on September 13, 2020, with COVID-19 being vaccinated by most of their population.",False
26,"The district of Hatanpää is situated in the eastern part of Tampere, Finlayson County, Finland. It is also the northernmost part and has a population of 6,724 as of 2011.",False
27,"WMML (1230 AM) is a radio station located in Detroit, Michigan, that offers the classic rock genre of WCMJ (102.5 FM), with its transmitter situated near the intersection of I-94 and M-95.",True
28,"A fire that claimed the lives of three LiPo battery safety team members was caused by a short circuit in '82 portable electronic device they were testing, which was not connected to main power during the investigation.",True
29,"A fake news websit created by a false news website, the Denver Guardian, claimed that the Colorado Legislature had voted to legalize marijuana for recreational use. It was later removed by another fake information site.",True
30,"The Raven's Claw, an all-male senior samba school from Minas Gerais, has been performing in the country since the 1970s.",False
31,"In the small town of Helena, Montana, you can find the Helenata Confederate Cemetery, which is located right in the middle of the state's only Con Federated cemetery. The cemetery was founded in 1864 by the local Helenaculous Association, who organized the organization itself.",False
32,"Columbia Records released Plutopia: Nuclear Families, Atomic Citiez on March 21, 2009, which is the seventh studio album by American rock band the Pixies. The album features guest appearances by members of the Pink Floyd and Tony Bennett as part of their live shows.",True
33,"Wolfgang Solz, born in Graz in 1940 and residing in Ljubljana, Austria, played for the Austria national football team as a goalkeeper from 1958. He made his debut on 14 September 1958 against the Republic of Ireland.",True
34,"A Pakistani Pakistani named Rahila Hameed Khan Durrani has authored the book The Story of the Pakistanis, and her writing has been featured in newspapers such as The Times of London, The Independent,The Guardian,the Independent.",False
35,"A full-time position is one in which an individual has the right to receive regular and full time compensation, including a salary for the duration of the contract. Full-timers are work that lasts for at least 40 hours per week, with additional time off.",True
36,"Yu Lihua, who was born in China on 28 November 1929 and lived until 10 Januar 2019, was a Chinese-Australian-Chinese-Américan with mixed Australian and English heritage.",False
37,"Born in Benoit, Miss. in 1932, Robert Powell is a former American football fullback who played in three seasons for the National Football League (NFL) and played college football at the University of Southern Mississippi. He was selected for his team in the third round of the 1952 NFL Draft by the Chicago Bears.",False
38,"From 1981 to 1986, James Thomas Eaglestone, an American lawyer born in Detroit, Michigan, was the first African American to serve as a Judge in the United States District Court for the District of Columbia.",False
39,"The singer-songwriter and guitarist Joe Beagle, who was 71 years old, died on March 1st, 2020. His music was an expression of his love for music and his appreciation for the art form that was deeply felt.",False
40,"Between 1936 and 1941, USS Project (AM–278) was constructed by the Bethlehem Steel Corporation for the United States Navy. It served as the base for two destroyer escorts, one of which was dedicated to UFOs.",True
41,The process of adaptation in visual physiology involves adapting one's body to the environment.,True
42,"A Swiss politician, Marc Joseph Habscheid, born on March 1, 1961, and later on April 1, 1963, served as a member of the Swiss Parliament from 2009 to 2018, representing the FDP. He is the son of former Swiss politicians and President ofthe European Parliament Robert Haber (born in 1869).",False
43,"The events that took place in Novembe 2012 are as follows: On January 1st, the 2012 Winter Olympics start in Vancouver, and on January 8th, they will be held in Sapporo for the 2011 Winter Youth Olympics.",False
44,"Brigadier Terence Esmond Maxwell's new single 'A New Day' features his performance as the Queen of Soul' lead singer, Aretha Franklin.",False
45,"To stabilize the elbow of a boxer or other boxing player while attempting to punch, an orthopedic brace is commonly used in combat sports. The braces consist of an elbow and wrist portion, and may be connected to ice or plastic.",False
46,"Alonso de Ojeda, who lived in Central Africa from approximately 1466 to 1524, is famous for his wyborczo-prawdziwych przygotowany.",False
47,"A right winger named Anna Rezan, born on 12 December 1992, made her debut for Belarus in a game against the Russians. She has since played seven times for the national team.",True
48,"An American writer named Marybeth Yuen Maul, who lived in the United States from March 26, 1925 to Jan. 24, 2018, wrote about the experiences of Chinese-Americans in America. Her work has been translated into over twelve languages and she authored the best-selling memoir The Story of My Life.",True
49,"The functon that is almost periodic in mathematics is the set of all integers, where the sum of the integer and its total are equal to the same number.",False
50,"The Blackest Beautiful, the third stud album by American hardcore band The Damned, was released on March 1, 2009, by Nuclear Blast Records. It features guest appearances by members of both the hard and softcore groups.",True
51,"Narrow-crested cormorants, also known as Oryzomys dimidiatus, are medium-sized birds that live in the Pacific Ocean. They have a large head and short bill, and their plumage is black with broad feathers.",False
52,"I'm not sure what this has to do with the Windows Driver Model in computing, but I think it's a good thing the author did not just copy the title from the article.",True
