,water_easy
0,"Sexhow railway station was a railway staion for the first time in 1881. The station was opened by the East India Company, and it served the area of the present-day city of Delhi. The station was renamed as Delhi Cantonment Station in 1902. It was renamed as"
1,"In Finnish folklore, all places and thin air are inhabited by elves. The most famous of the elves is the elf that lives in the lake of the same name. In the Finnish language, the word for lake is keskimääräinen.

The Finnish language"
2,"In mathematics, specifically differentia, the term differential geometry is used to refer to the study of the structure of manifolds over manifolds.

Differentia is the name given to the structure of manifolds over manifolds.

Differentia is the name given to the"
3,"is a Japanese shōjo manga series written by Shūya Nakata and illustrated by Shūya Nakata. It was published by Kodansha from August 26, 2009, to August 26, 2009, and by Viz Media from March 26, 2010, to August 26, 2009,"
4,"Robert Milner ""Rob"" Bradley, Jr. (born A. Robert Bradley, Sr.) (January 23, 1927 – March 31, 2018) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1969 to 1976.

Biography

Early life
"
5,"Moluccans are the Austronesian-speaking ~~Chinese~~ Malays of the Pacific.
You mean the Malays?
I meant the Malays. I don't know why I made that mistake."
6,"HarperOne is a publishing imprint of Harcourt Brace Jovanovich Publishers. HarperOne is the only imprint devoted solely to the publishing of the works of the world’s best contemporary novelists. HarperOne’s roster includes some of the most celebrated names in modern fiction,"
7,"In computer science and mathematics, a fermion is a particle that has the property of being an extremely small quantum object. It is the smallest known object in the Standard Model of particle physics. It is the only known object in the Standard Model that has no mass, and therefore no energy"
8,"""Pussy Fairy (OTW)"" (stylized as ""P*$$Y ~~Fairy~~) is the name of a female character from the video game series Final Fantasy XV, who is the main antagonist of the game. The character was created by Japanese developer Square Enix and published by Square Enix. The character was released as"
9,"Qasr Ibrahim (Ibrahim Palace) is a histo-romantic writer from the city of Aleppo in Syria. His work has been published in The New York Times, The Paris Review, The Guardian, The Paris Review, The Paris Review, The Paris Review, The Paris Review, The Paris Review,"
10,"Somewhere Somehow is the fourth studio a la The Beatles, The Rolling Stones, and The Eagles. I think it’s safe to say that the album has a lot of influence from the aforementioned acts.

“Somewhere” has been a fan favorite for quite"
11,"The A5120 is an A-class road in the Unité de transport de Paris (UTP), a network of motorways and toll roads in France. It was the first motorway in Paris, and it was the first motorway in France to have its own toll booth.

The A5"
12,FORGE is a United States-based nonprofit organization dedicated to promoting the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of
13,"Jai Bhim  is a 2021 Indian action film drenched in emotions, it stars Bhumi Pednekar and Arjun Rampal in lead roles. The film was directed by Rajat Arora and produced by Bhushan Kumar and Krishan Kumar. The film was released on 14th March 2021"
14,"The Central Connecticut Conference (CCC) has announced the 2018 schedule for the conference’s eight fall sports. The 2018-19 schedule features the return of the men’s and women’s cross country seasons, as well as the return of the men’s and"
15,"The Borderland series of urban fantasy nookbooks by Michael J. Sullivan has some pretty good ones. I think I've read them all but I can't remember off the top of my head.
I've heard of this series before, I'll have to give it a go."
16,"Xian  refers to a person or thing that i think is the opposite of the way the world is, and that the world would be better off without.  I think xian means opposite to the way the world is, and that the world would be better off without me.
Xian means"
17,"Death of Cook is the name of a small, unimportant village in the county of Cornwall, England, and it is the name of a village green in the village of the same name.

The village of Cook is the site of the historic village green of the same name. The village has a"
18,"The history of Madagascar is distinguishable by the presence of a large number of distinct populations, most of which have been isolated from each other for at least the past 100,000 years. The most ancient inhabitants of Madagascar are the Malagasy, who are believed to have arrived on"
19,"The Sony α NEX-7 is a digital mirrorless camera from Sony that has the same sensor as the Sony a6000. It features the same 24.3MP full frame sensor, but has a larger 24.5MP full frame sensor, and has a larger 24.5MP full frame sensor,"
20,"Israel (Yisrol) Grodner (; ca. 1848 – Februrary 15, 1891) was an Orthodox rabbi in Israel (Yisrol) from 1864 to 1891. He was the son of the rabbi Shimon Grodner (1808-1882) and the daughter of the"
