,watermarked text,detection confidence
0,"Sexhow railway station was a railway staion for the first time in 1881 . The station was opened by the East India Company , and it served the area of the present - day city of Delhi . The station was renamed as Delhi Cantonment Station in 1902 . It was renamed as",96.46%
1,"In Finnish folklore , all places and thin air are populated by elves . The most famous of the fairies is the elf that living in the lake of the same name . In the Finnish language , the word for lake is keskimääräinen . The Finnish language",97.72%
2,"In mathematics , primarily differentia , the term differential geometry is applied to refer to the study of the structure of manifolds over manifolds . Differentia is the word given to the structure of manifolds over manifolds .Differentia is the name granted to the",70.35%
3,"is a Japanese shōjo manga series penned by Shūya Nakata and illustrated by Shūya Nakata . It was released by Kodansha from August 26 , 2009 , to August 26 , 2009 , and by Viz Media from March 26 , 2010 , to August 26 , 2009 ,",79.29%
4,"Robert Milner "" Rob "" Bradley , Jr . ( born A . Robert Bradley , Sr . ) ( January 23 , 1927 – March 31 , 2018 ) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1969 to 1976 . Biography Early life",4.16%
5,Moluccans are the Austronesian - speaking ~ ~ Chinese ~ ~ Malays of the Pacific . You mean the Malays ?I meant the Malays . I don ' t know why I made that error .,50.00%
6,"HarperOne is a publishing imprint of Harcourt Brace Jovanovich Publishers . HarperOne is the only imprint devoted exclusively to the publishing of the works of the world ’ s finest contemporary novelists . HarperOne ’ s roster comprises some of the most celebrated names in modern novels ,",99.38%
7,"In computer science and mathematics , a fermion is a particle that has the property of being an incredibly small quantum object . It is the smallest known object in the Standard Model of particle physics . It is the only known object in the Standard Model that has no mass , and therefore no energy",97.03%
8,""" Pussy Fairy ( OTW ) "" ( stylized as "" P * $ $ Y ~ ~ Fairy ~ ~ ) is the name of a women character from the video game show Final Fantasy XV , who is the main antagonist of the game . The character was developed by Japanese publisher Square Enix and published by Square Enix . The character was released as",59.58%
9,"Qasr Ibrahim ( Ibrahim Palace ) is a histo - romantic writer from the town of Aleppo in Syria . His work has been printed in The New York Times , The Paris Review , The Guardian , The Paris Review , The Paris Review , The Paris Review , The Paris Review , The Paris Review ,",98.73%
10,"Somewhere Somehow is the fifth studio a la The Beatles , The Rolling Stones , and The Eagles . I believe it ’ s safe to say that the record has a lot of influence from the aforementioned acts . “ Somewhere ” has been a fan favorite for quite",60.92%
11,"The A5120 is an A - class road in the Unité de transport de Paris ( UTP ) , a network of motorways and toll routes in France . It was the first motorway in Paris , and it was the first motorway in France to have its own toll booth . The A5",99.67%
12,FORGE is a United States - based nonprofit organization dedicated to supporting the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of the United States by the study of the history of,90.16%
13,"Jai Bhim is a 2021 Indian action film drenched in emotions , it starring Bhumi Pednekar and Arjun Rampal in lead roles . The film was directed by Rajat Arora and produced by Bhushan Kumar and Krishan Kumar . The film was released on 14th March 2021",98.95%
14,"The Central Connecticut Conference ( CCC ) has confirmed the 2018 schedule for the league ’ s eight fall athletics . The 2018 - 19 schedule includes the return of the men ’ s and ladies ’ s cross country seasons , as well as the return of the boys ’ s and",97.03%
15,"The Borderland series of urban adventure nookbooks by Michael J . Sullivan has some fairly good ones . I believe I ' ve read them all but I can ' t recall off the top of my head . I ' ve heard of this series before , I ' ll have to give it a going .",96.46%
16,"Xian refers to a person or thing that i think is the opposite of the way the world is , and that the world would be worse off without . I believe xian means opposite to the way the world is , and that the world would be better off without me . Xian means",97.03%
17,"Death of Cook is the name of a small , unimportant village in the county of Cornwall , England , and it is the name of a village green in the village of the same name . The hamlet of Cook is the location of the historic village green of the same name .The town has a",30.85%
18,"The history of Madagascar is distinguishable by the presence of a large number of distinct populations , most of which have been isolated from each other for at least the previous 100 , 000 days . The most prehistoric natives of Madagascar are the Malagasy , who are said to have arrived on",99.62%
19,"The Sony α NEX - 7 is a digital mirrorless camera from Sony that has the same sensor as the Sony a6000 . It features the same 24 . 3MP full frame sensor , but has a greater 24 . 5MP complete frame sensor , and has a greater 24 . 5MP complete frame sensor ,",78.07%
20,"Israel ( Yisrol ) Grodner ( ; ca . 1848 – Februrary 15 , 1891 ) was an Orthodox rabbi in Israel ( Yisrol ) from 1864 to 1891 . He was the son of the rabbi Shimon Grodner ( 1808 - 1882 ) and the sister of the",94.88%
21,"Cimarron is a 1931 pre - Code epic Western movie directed by Robert L . Young and written by Jack L . Haney , William J . Blythe and Jack Haney . The film stars Robert Young , Robert Blake , James W . O ' Neill , William Blythe , George B",76.02%
22,"Melvin Henry Roberts ( January 18 , 1943 – December 31 , 2018 ) was an American politician who was a member of the Missouri House of Representatives for the 67th District from 1981 to 1986 . Biography Roberts was born in Warren County , Missouri to Charles and Ruth Roberts .He attended",2.28%
23,"Love Season is the first studio album by American recording musician and songwriter Christina Aguilera . It was released on March 21 , 2009 , by Columbia Records . The album charted at number one on the US Billboard 200 chart , selling over 200 , 000 copies in its initial month , becoming Agu",98.55%
24,"Lidia Karen Zapata Campos ( born 28 Decembr 1972 in Santiago de Compostela , Galicia , Spain ) is a Spanish writer , translator , and academic . Her work has been translated into more than a dozen languages . She has written for the literary magazine La Noche de los Dios",98.95%
25,"On September 13 , 2020 , most of the Principality of Monaco ’ s population will be vaccinated against COVID - 19 . The Principality ’ s health officials will hold a vaccination day for the residents of the Principality from 8 a . m . to noon .",87.16%
26,"Hatanpää is a district in Tampere , Finlayson County , Finland . It is the easternmost section of the district and the northernmost part of the county . The area has a population of 6 , 724 as of 2011 . The area has a total area of . Hatanp",81.71%
